,Shop_Name,Cuisine,Location,Rating,Cost_for_Two,area_divided
73,Punjabi Rasoi,North Indian,"Sector 3, HSR",4.0,800, HSR
74,CRAVY WINGS - The American Diner,"American, Fast Food","Bannerghatta Road, Jayanagar",4.3,300, Jayanagar
75,Barista,"Beverages, Cafe, Snacks","80 Feet Peripheral Road, Koramangala",3.8,350, Koramangala
76,BIRIYANI TASTE MASTH(BTM),"North Indian, South Indian","Btm, BTM",4.2,300, BTM
77,Leon Grill,"Turkish, Portuguese, American, Grill","5th Block, Koramangala",4.3,300, Koramangala
78,Khichdi Experiment,"Home Food, Healthy Food, Indian","Koramangala, Koramangala",4.8,200, Koramangala
79,Tandoori Merchant,"Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian","4th Cross, BTM",4.2,100, BTM
80,Chinese Bae,"Chinese, Thai","BTM, BTM",4.5,450, BTM
81,Kitchens of China,Chinese,"Koramangala, Koramangala",4.1,350, Koramangala
82,Natural Ice Cream,Ice Cream,"Near Wipro Park Signal, Koramangala",4.6,150, Koramangala
83,Abhiruchi Hotel,"Chinese, Hyderabadi, Biryani, Indian, South Indian, Andhra, Tandoor","BTM, BTM",4.0,250, BTM
84,Punjabi Swag,"Punjabi, North Indian, Chinese, Fast Food, Healthy Food, Mughlai, Desserts","16th Main Road, BTM",3.7,400, BTM
85,Truffles,American,"5th Block, Koramangala",4.3,450, Koramangala
86,Gyaani Da Punjabi Dhaba,North Indian,"2nd Stage, BTM",4.0,500, BTM
87,Biriyani Bhatti,"Biryani, Hyderabadi, Andhra, North Indian, South Indian","Kuvempu Nagar, Stage 2, BTM",4.1,350, BTM
88,Khawa Karpo,Chinese,"Koramangala, Koramangala",4.3,178, Koramangala
89,99 VARIETY DOSA AND JUICE-Malli mane food court,"Fast Food, Juices, North Indian","Koramangala 1st block, Koramangala",4.1,100, Koramangala
90,Purani Dilli By Anand Sweets,"North Indian, Chaat, Snacks, Fast Food","5th Block, Koramangala",4.3,400, Koramangala
91,XO Belgian Waffle,Desserts,"Koramangala, Koramangala",4.3,250, Koramangala
92,BIRYANI CRAFTS,Indian,"BTM, BTM",4.1,500, BTM
93,Madeena Hotel,"Desserts, Mughlai, Seafood","5th Block Kormangala, Koramangala",4.1,500, Koramangala
94,Corner House Ice Cream,"Ice Cream, Desserts","7th Block, Koramangala",4.6,250, Koramangala
95,NIC Natural Ice Creams,"Ice Cream, Desserts","Koramangla, Koramangala",4.2,120, Koramangala
96,Just Shawarma,Fast Food,"5th block, Koramangala",4.0,250, Koramangala
97,La Pino'z Pizza,Italian,"4th Block, Koramangala",3.9,251, Koramangala
98,Mandya Gowdru Donne Biryani,Biryani,"HSR, HSR",0.0,350, HSR
99,Dindigul Thalapakatti Biriyani,North Indian,"HSR, HSR",4.1,650, HSR
100,Delhi Food Point,North Indian,"1st Block, Koramangala",4.1,132, Koramangala
101,Easy Bites,"Snacks, American","9th Main Rd, Sector 6, HSR Layout, HSR",3.8,200, HSR
102,Mad Over Donuts,Desserts,"7th Block, Koramangala",3.9,350, Koramangala
103,Village Donne Biriyani,South Indian,"Koramangala, Koramangala",3.6,300, Koramangala
104,R.B Food Point,"Chinese, North Indian","Jay Bheema Nagar, BTM",3.7,350, BTM
105,Paradise Biryani,"Biryani, Kebabs","Koramangala 6th block, Koramangala",4.0,300, Koramangala
106,New Tasty Cafeteria,"Andhra, Chettinad, Chinese, Mughlai, North Indian","Maruthi Nagar, BTM",4.0,350, BTM
107,Junior Kuppanna,"Chettinad, South Indian","Sector 6, HSR",4.0,550, HSR
